T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
24.9,32.1,19.4,1009.7,79,5.5,0.9,3.5,95.25
24.9,32.1,19.4,1009.7,79,5.5,0.9,3.5,95.25
24.9,32.1,19.4,1009.7,79,5.5,0.9,3.5,95.25
24.9,32.1,19.4,1009.7,79,5.5,0.9,3.5,95.25
24.9,32.1,19.4,1009.7,79,5.5,0.9,3.5,95.25
24.9,32.1,19.4,1009.7,79,5.5,0.9,3.5,95.25
24.9,32.1,19.4,1009.7,79,5.5,0.9,3.5,95.25
24.9,32.1,19.4,1009.7,79,5.5,0.9,3.5,95.25
26.3,33.4,17.5,1010.5,65,6.9,1.1,5.4,126.16666666666669
26.3,33.4,17.5,1010.5,65,6.9,1.1,5.4,126.16666666666669
26.3,33.4,17.5,1010.5,65,6.9,1.1,5.4,126.16666666666669
26.3,33.4,17.5,1010.5,65,6.9,1.1,5.4,126.16666666666669
26.3,33.4,17.5,1010.5,65,6.9,1.1,5.4,126.16666666666669
26.3,33.4,17.5,1010.5,65,6.9,1.1,5.4,126.16666666666669
26.3,33.4,17.5,1010.5,65,6.9,1.1,5.4,126.16666666666669
26.3,33.4,17.5,1010.5,65,6.9,1.1,5.4,126.16666666666669
26.3,33.4,17.5,1010.5,65,6.9,1.1,5.4,126.16666666666669
26.1,32.8,18.9,1009.5,64,6.3,1.5,5.4,136.70833333333334
26.1,32.8,18.9,1009.5,64,6.3,1.5,5.4,136.70833333333334
26.1,32.8,18.9,1009.5,64,6.3,1.5,5.4,136.70833333333334
26.1,32.8,18.9,1009.5,64,6.3,1.5,5.4,136.70833333333334
26.1,32.8,18.9,1009.5,64,6.3,1.5,5.4,136.70833333333334
26.1,32.8,18.9,1009.5,64,6.3,1.5,5.4,136.70833333333334
26.1,32.8,18.9,1009.5,64,6.3,1.5,5.4,136.70833333333334
26.1,32.8,18.9,1009.5,64,6.3,1.5,5.4,136.70833333333334
26.1,32.8,18.9,1009.5,64,6.3,1.5,5.4,136.70833333333334
24.1,32.1,18.3,1008.2,64,6.3,0.7,5.4,160.66666666666666
24.1,32.1,18.3,1008.2,64,6.3,0.7,5.4,160.66666666666666
24.1,32.1,18.3,1008.2,64,6.3,0.7,5.4,160.66666666666666
24.1,32.1,18.3,1008.2,64,6.3,0.7,5.4,160.66666666666666
24.1,32.1,18.3,1008.2,64,6.3,0.7,5.4,160.66666666666666
24.1,32.1,18.3,1008.2,64,6.3,0.7,5.4,160.66666666666666
24.1,32.1,18.3,1008.2,64,6.3,0.7,5.4,160.66666666666666
24.1,32.1,18.3,1008.2,64,6.3,0.7,5.4,160.66666666666666
24.1,32.1,18.3,1008.2,64,6.3,0.7,5.4,160.66666666666666
25.5,32.1,20.7,1006.2,75,6.3,1.9,5.4,245.66666666666663
25.5,32.1,20.7,1006.2,75,6.3,1.9,5.4,245.66666666666663
25.5,32.1,20.7,1006.2,75,6.3,1.9,5.4,245.66666666666663
25.5,32.1,20.7,1006.2,75,6.3,1.9,5.4,245.66666666666663
25.5,32.1,20.7,1006.2,75,6.3,1.9,5.4,245.66666666666663
25.5,32.1,20.7,1006.2,75,6.3,1.9,5.4,245.66666666666663
25.5,32.1,20.7,1006.2,75,6.3,1.9,5.4,245.66666666666663
25.5,32.1,20.7,1006.2,75,6.3,1.9,5.4,245.66666666666663
25.5,32.1,20.7,1006.2,75,6.3,1.9,5.4,245.66666666666663
26.4,31.7,21.1,1007.2,75,6.3,0.9,5.4,261.6666666666667
26.4,31.7,21.1,1007.2,75,6.3,0.9,5.4,261.6666666666667
26.4,31.7,21.1,1007.2,75,6.3,0.9,5.4,261.6666666666667
26.4,31.7,21.1,1007.2,75,6.3,0.9,5.4,261.6666666666667
26.4,31.7,21.1,1007.2,75,6.3,0.9,5.4,261.6666666666667
26.4,31.7,21.1,1007.2,75,6.3,0.9,5.4,261.6666666666667
26.4,31.7,21.1,1007.2,75,6.3,0.9,5.4,261.6666666666667
26.4,31.7,21.1,1007.2,75,6.3,0.9,5.4,261.6666666666667
26.4,31.7,21.1,1007.2,75,6.3,0.9,5.4,261.6666666666667
26.6,33.3,21.7,1008.9,74,6.3,2.2,5.4,272.4166666666667
26.6,33.3,21.7,1008.9,74,6.3,2.2,5.4,272.4166666666667
26.6,33.3,21.7,1008.9,74,6.3,2.2,5.4,272.4166666666667
26.6,33.3,21.7,1008.9,74,6.3,2.2,5.4,272.4166666666667
26.6,33.3,21.7,1008.9,74,6.3,2.2,5.4,272.4166666666667
26.6,33.3,21.7,1008.9,74,6.3,2.2,5.4,272.4166666666667
26.6,33.3,21.7,1008.9,74,6.3,2.2,5.4,272.4166666666667
26.6,33.3,21.7,1008.9,74,6.3,2.2,5.4,272.4166666666667
26.6,33.3,21.7,1008.9,74,6.3,2.2,5.4,272.4166666666667
24.2,31.5,18.2,1012.9,60,6.3,0.4,3.5,149.625
24.2,31.5,18.2,1012.9,60,6.3,0.4,3.5,149.625
24.2,31.5,18.2,1012.9,60,6.3,0.4,3.5,149.625
24.2,31.5,18.2,1012.9,60,6.3,0.4,3.5,149.625
24.2,31.5,18.2,1012.9,60,6.3,0.4,3.5,149.625
24.2,31.5,18.2,1012.9,60,6.3,0.4,3.5,149.625
24.2,31.5,18.2,1012.9,60,6.3,0.4,3.5,149.625
24.2,31.5,18.2,1012.9,60,6.3,0.4,3.5,149.625
24.2,31.5,18.2,1012.9,60,6.3,0.4,3.5,149.625
23.3,30.3,15.2,1013.1,57,6.6,1.3,5.4,99.70833333333331
23.3,30.3,15.2,1013.1,57,6.6,1.3,5.4,99.70833333333331
23.3,30.3,15.2,1013.1,57,6.6,1.3,5.4,99.70833333333331
23.3,30.3,15.2,1013.1,57,6.6,1.3,5.4,99.70833333333331
23.3,30.3,15.2,1013.1,57,6.6,1.3,5.4,99.70833333333331
23.3,30.3,15.2,1013.1,57,6.6,1.3,5.4,99.70833333333331
23.3,30.3,15.2,1013.1,57,6.6,1.3,5.4,99.70833333333331
23.3,30.3,15.2,1013.1,57,6.6,1.3,5.4,99.70833333333331
23.3,30.3,15.2,1013.1,57,6.6,1.3,5.4,99.70833333333331
26.2,31.7,15.8,1012.0,60,6.9,2.0,3.5,217.375
26.2,31.7,15.8,1012.0,60,6.9,2.0,3.5,217.375
26.2,31.7,15.8,1012.0,60,6.9,2.0,3.5,217.375
26.2,31.7,15.8,1012.0,60,6.9,2.0,3.5,217.375
26.2,31.7,15.8,1012.0,60,6.9,2.0,3.5,217.375
26.2,31.7,15.8,1012.0,60,6.9,2.0,3.5,217.375
26.2,31.7,15.8,1012.0,60,6.9,2.0,3.5,217.375
26.2,31.7,15.8,1012.0,60,6.9,2.0,3.5,217.375
26.2,31.7,15.8,1012.0,60,6.9,2.0,3.5,217.375
25.3,32.3,17.8,1012.3,65,6.3,1.3,5.4,309.375
25.3,32.3,17.8,1012.3,65,6.3,1.3,5.4,309.375
25.3,32.3,17.8,1012.3,65,6.3,1.3,5.4,309.375
25.3,32.3,17.8,1012.3,65,6.3,1.3,5.4,309.375
25.3,32.3,17.8,1012.3,65,6.3,1.3,5.4,309.375
25.3,32.3,17.8,1012.3,65,6.3,1.3,5.4,309.375
25.3,32.3,17.8,1012.3,65,6.3,1.3,5.4,309.375
25.3,32.3,17.8,1012.3,65,6.3,1.3,5.4,309.375
25.3,32.3,17.8,1012.3,65,6.3,1.3,5.4,309.375
22.7,29.9,14.7,1012.6,65,6.3,2.0,9.4,321.5416666666667
22.7,29.9,14.7,1012.6,65,6.3,2.0,9.4,321.5416666666667
22.7,29.9,14.7,1012.6,65,6.3,2.0,9.4,321.5416666666667
22.7,29.9,14.7,1012.6,65,6.3,2.0,9.4,321.5416666666667
22.7,29.9,14.7,1012.6,65,6.3,2.0,9.4,321.5416666666667
22.7,29.9,14.7,1012.6,65,6.3,2.0,9.4,321.5416666666667
22.7,29.9,14.7,1012.6,65,6.3,2.0,9.4,321.5416666666667
22.7,29.9,14.7,1012.6,65,6.3,2.0,9.4,321.5416666666667
22.7,29.9,14.7,1012.6,65,6.3,2.0,9.4,321.5416666666667
23.5,30.6,16.1,1011.5,66,5.5,0.9,3.5,278.0
23.5,30.6,16.1,1011.5,66,5.5,0.9,3.5,278.0
23.5,30.6,16.1,1011.5,66,5.5,0.9,3.5,278.0
23.5,30.6,16.1,1011.5,66,5.5,0.9,3.5,278.0
23.5,30.6,16.1,1011.5,66,5.5,0.9,3.5,278.0
23.5,30.6,16.1,1011.5,66,5.5,0.9,3.5,278.0
23.5,30.6,16.1,1011.5,66,5.5,0.9,3.5,278.0
23.5,30.6,16.1,1011.5,66,5.5,0.9,3.5,278.0
23.5,30.6,16.1,1011.5,66,5.5,0.9,3.5,278.0
22.9,30.2,16.7,1011.6,64,5.5,1.7,7.6,192.33333333333331
22.9,30.2,16.7,1011.6,64,5.5,1.7,7.6,192.33333333333331
22.9,30.2,16.7,1011.6,64,5.5,1.7,7.6,192.33333333333331
22.9,30.2,16.7,1011.6,64,5.5,1.7,7.6,192.33333333333331
22.9,30.2,16.7,1011.6,64,5.5,1.7,7.6,192.33333333333331
22.9,30.2,16.7,1011.6,64,5.5,1.7,7.6,192.33333333333331
22.9,30.2,16.7,1011.6,64,5.5,1.7,7.6,192.33333333333331
22.9,30.2,16.7,1011.6,64,5.5,1.7,7.6,192.33333333333331
22.9,30.2,16.7,1011.6,64,5.5,1.7,7.6,192.33333333333331
21.0,30.3,12.1,1011.4,59,4.8,0.4,1.9,224.16666666666663
21.0,30.3,12.1,1011.4,59,4.8,0.4,1.9,224.16666666666663
21.0,30.3,12.1,1011.4,59,4.8,0.4,1.9,224.16666666666663
21.0,30.3,12.1,1011.4,59,4.8,0.4,1.9,224.16666666666663
21.0,30.3,12.1,1011.4,59,4.8,0.4,1.9,224.16666666666663
21.0,30.3,12.1,1011.4,59,4.8,0.4,1.9,224.16666666666663
21.0,30.3,12.1,1011.4,59,4.8,0.4,1.9,224.16666666666663
21.0,30.3,12.1,1011.4,59,4.8,0.4,1.9,224.16666666666663
21.0,30.3,12.1,1011.4,59,4.8,0.4,1.9,224.16666666666663
20.6,29.3,12.6,1012.3,61,6.3,1.3,3.5,196.75
20.6,29.3,12.6,1012.3,61,6.3,1.3,3.5,196.75
20.6,29.3,12.6,1012.3,61,6.3,1.3,3.5,196.75
20.6,29.3,12.6,1012.3,61,6.3,1.3,3.5,196.75
20.6,29.3,12.6,1012.3,61,6.3,1.3,3.5,196.75
20.6,29.3,12.6,1012.3,61,6.3,1.3,3.5,196.75
20.6,29.3,12.6,1012.3,61,6.3,1.3,3.5,196.75
20.6,29.3,12.6,1012.3,61,6.3,1.3,3.5,196.75
20.6,29.3,12.6,1012.3,61,6.3,1.3,3.5,196.75
20.4,28.6,12.7,1012.8,59,6.3,1.9,7.6,221.54166666666663
20.4,28.6,12.7,1012.8,59,6.3,1.9,7.6,221.54166666666663
20.4,28.6,12.7,1012.8,59,6.3,1.9,7.6,221.54166666666663
20.4,28.6,12.7,1012.8,59,6.3,1.9,7.6,221.54166666666663
20.4,28.6,12.7,1012.8,59,6.3,1.9,7.6,221.54166666666663
20.4,28.6,12.7,1012.8,59,6.3,1.9,7.6,221.54166666666663
20.4,28.6,12.7,1012.8,59,6.3,1.9,7.6,221.54166666666663
20.4,28.6,12.7,1012.8,59,6.3,1.9,7.6,221.54166666666663
20.4,28.6,12.7,1012.8,59,6.3,1.9,7.6,221.54166666666663
23.8,32.6,15.5,1012.8,59,6.3,0.2,1.9,166.70833333333334
23.8,32.6,15.5,1012.8,59,6.3,0.2,1.9,166.70833333333334
23.8,32.6,15.5,1012.8,59,6.3,0.2,1.9,166.70833333333334
23.8,32.6,15.5,1012.8,59,6.3,0.2,1.9,166.70833333333334
23.8,32.6,15.5,1012.8,59,6.3,0.2,1.9,166.70833333333334
23.8,32.6,15.5,1012.8,59,6.3,0.2,1.9,166.70833333333334
23.8,32.6,15.5,1012.8,59,6.3,0.2,1.9,166.70833333333334
23.8,32.6,15.5,1012.8,59,6.3,0.2,1.9,166.70833333333334
23.8,32.6,15.5,1012.8,59,6.3,0.2,1.9,166.70833333333334
21.8,32.0,13.6,1010.9,59,6.0,0.2,1.9,130.70833333333334
21.8,32.0,13.6,1010.9,59,6.0,0.2,1.9,130.70833333333334
21.8,32.0,13.6,1010.9,59,6.0,0.2,1.9,130.70833333333334
21.8,32.0,13.6,1010.9,59,6.0,0.2,1.9,130.70833333333334
21.8,32.0,13.6,1010.9,59,6.0,0.2,1.9,130.70833333333334
21.8,32.0,13.6,1010.9,59,6.0,0.2,1.9,130.70833333333334
21.8,32.0,13.6,1010.9,59,6.0,0.2,1.9,130.70833333333334
21.8,32.0,13.6,1010.9,59,6.0,0.2,1.9,130.70833333333334
21.8,32.0,13.6,1010.9,59,6.0,0.2,1.9,130.70833333333334
20.6,31.2,11.7,1009.7,56,5.5,0.9,3.5,194.70833333333331
20.6,31.2,11.7,1009.7,56,5.5,0.9,3.5,194.70833333333331
20.6,31.2,11.7,1009.7,56,5.5,0.9,3.5,194.70833333333331
20.6,31.2,11.7,1009.7,56,5.5,0.9,3.5,194.70833333333331
20.6,31.2,11.7,1009.7,56,5.5,0.9,3.5,194.70833333333331
20.6,31.2,11.7,1009.7,56,5.5,0.9,3.5,194.70833333333331
20.6,31.2,11.7,1009.7,56,5.5,0.9,3.5,194.70833333333331
20.6,31.2,11.7,1009.7,56,5.5,0.9,3.5,194.70833333333331
20.6,31.2,11.7,1009.7,56,5.5,0.9,3.5,194.70833333333331
25.3,32.6,19.2,1010.2,73,6.6,1.1,3.5,134.45833333333334
25.3,32.6,19.2,1010.2,73,6.6,1.1,3.5,134.45833333333334
25.3,32.6,19.2,1010.2,73,6.6,1.1,3.5,134.45833333333334
25.3,32.6,19.2,1010.2,73,6.6,1.1,3.5,134.45833333333334
25.3,32.6,19.2,1010.2,73,6.6,1.1,3.5,134.45833333333334
25.3,32.6,19.2,1010.2,73,6.6,1.1,3.5,134.45833333333334
25.3,32.6,19.2,1010.2,73,6.6,1.1,3.5,134.45833333333334
25.3,32.6,19.2,1010.2,73,6.6,1.1,3.5,134.45833333333334
25.3,32.6,19.2,1010.2,73,6.6,1.1,3.5,134.45833333333334
24.8,30.1,21.3,1009.7,81,6.3,0.2,1.9,110.0
24.8,30.1,21.3,1009.7,81,6.3,0.2,1.9,110.0
24.8,30.1,21.3,1009.7,81,6.3,0.2,1.9,110.0
24.8,30.1,21.3,1009.7,81,6.3,0.2,1.9,110.0
24.8,30.1,21.3,1009.7,81,6.3,0.2,1.9,110.0
24.8,30.1,21.3,1009.7,81,6.3,0.2,1.9,110.0
24.8,30.1,21.3,1009.7,81,6.3,0.2,1.9,110.0
24.8,30.1,21.3,1009.7,81,6.3,0.2,1.9,110.0
24.8,30.1,21.3,1009.7,81,6.3,0.2,1.9,110.0
24.0,30.4,17.6,1011.2,75,6.3,0.9,5.4,160.0
24.0,30.4,17.6,1011.2,75,6.3,0.9,5.4,160.0
24.0,30.4,17.6,1011.2,75,6.3,0.9,5.4,160.0
24.0,30.4,17.6,1011.2,75,6.3,0.9,5.4,160.0
24.0,30.4,17.6,1011.2,75,6.3,0.9,5.4,160.0
24.0,30.4,17.6,1011.2,75,6.3,0.9,5.4,160.0
24.0,30.4,17.6,1011.2,75,6.3,0.9,5.4,160.0
24.0,30.4,17.6,1011.2,75,6.3,0.9,5.4,160.0
24.0,30.4,17.6,1011.2,75,6.3,0.9,5.4,160.0
24.6,30.7,17.8,1012.5,76,6.3,0.9,7.6,118.91666666666669
24.6,30.7,17.8,1012.5,76,6.3,0.9,7.6,118.91666666666669
24.6,30.7,17.8,1012.5,76,6.3,0.9,7.6,118.91666666666669
24.6,30.7,17.8,1012.5,76,6.3,0.9,7.6,118.91666666666669
24.6,30.7,17.8,1012.5,76,6.3,0.9,7.6,118.91666666666669
24.6,30.7,17.8,1012.5,76,6.3,0.9,7.6,118.91666666666669
24.6,30.7,17.8,1012.5,76,6.3,0.9,7.6,118.91666666666669
24.6,30.7,17.8,1012.5,76,6.3,0.9,7.6,118.91666666666669
24.6,30.7,17.8,1012.5,76,6.3,0.9,7.6,118.91666666666669
23.3,29.3,19.6,1012.4,85,4.0,0.0,-,176.375
23.3,29.3,19.6,1012.4,85,4.0,0.0,-,176.375
23.3,29.3,19.6,1012.4,85,4.0,0.0,-,176.375
23.3,29.3,19.6,1012.4,85,4.0,0.0,-,176.375
23.3,29.3,19.6,1012.4,85,4.0,0.0,-,176.375
23.3,29.3,19.6,1012.4,85,4.0,0.0,-,176.375
23.3,29.3,19.6,1012.4,85,4.0,0.0,-,176.375
23.8,30.1,17.8,1011.2,75,6.3,1.1,3.5,185.95833333333331
23.8,30.1,17.8,1011.2,75,6.3,1.1,3.5,185.95833333333331
23.8,30.1,17.8,1011.2,75,6.3,1.1,3.5,185.95833333333331
23.8,30.1,17.8,1011.2,75,6.3,1.1,3.5,185.95833333333331
23.8,30.1,17.8,1011.2,75,6.3,1.1,3.5,185.95833333333331
23.8,30.1,17.8,1011.2,75,6.3,1.1,3.5,185.95833333333331
23.8,30.1,17.8,1011.2,75,6.3,1.1,3.5,185.95833333333331
23.8,30.1,17.8,1011.2,75,6.3,1.1,3.5,185.95833333333331
23.8,30.1,17.8,1011.2,75,6.3,1.1,3.5,185.95833333333331
18.1,28.1,9.9,1012.6,61,6.3,1.1,5.4,239.125
18.1,28.1,9.9,1012.6,61,6.3,1.1,5.4,239.125
18.1,28.1,9.9,1012.6,61,6.3,1.1,5.4,239.125
18.1,28.1,9.9,1012.6,61,6.3,1.1,5.4,239.125
18.1,28.1,9.9,1012.6,61,6.3,1.1,5.4,239.125
18.1,28.1,9.9,1012.6,61,6.3,1.1,5.4,239.125
18.1,28.1,9.9,1012.6,61,6.3,1.1,5.4,239.125
18.1,28.1,9.9,1012.6,61,6.3,1.1,5.4,239.125
18.1,28.1,9.9,1012.6,61,6.3,1.1,5.4,239.125
17.1,28.3,7.8,1012.2,55,6.3,1.3,5.4,365.29166666666674
17.1,28.3,7.8,1012.2,55,6.3,1.3,5.4,365.29166666666674
17.1,28.3,7.8,1012.2,55,6.3,1.3,5.4,365.29166666666674
